SubwayLocation,Price,SandwichName,TodayDate,Size
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,Cold Cut Combo,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Cold Cut Combo,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Italian B.M.T.®,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Italian B.M.T.®,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Italian B.M.T.®,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$5.50,Meatball Marinara,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,Meatball Marinara,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Meatball Marinara,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Monterey Chicken Melt,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Monterey Chicken Melt,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Monterey Chicken Melt,2015-08-14 00:42:58.158000,CHOPPED SALAD
